,dictionary,id,label
2473,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN247101488G,STS-87
2493,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN248101464C,STS-90
2535,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0II1722726613,TEC
2538,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0II517617596E,TB
2540,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0II1441160938,CTB
2590,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0II259273093D,IBM
2609,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0II1751347489C,SOMYK
2633,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN1465160870,CLV
2687,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN425728844,AA-1
2688,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN425728841,AA-2
2689,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN425728842,AA-3
2721,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN1674697465G,STS-1
2723,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN1674697468H,STS-2
2725,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN1674697467J,STS-3
2727,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN1674697470C,STS-4
2728,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN1674697469G,STS-5
2731,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN1674697457H,STS-9
2733,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN257101453G,STS-26
2735,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0IIN257101454D,STS-27
2755,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0II1686167160,NASA-Mir
2768,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0II1695340907,SM4
2770,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0II2146207307,SM3B
2772,JSCTaxonomy,http://learn.analytics.nasa.gov/JSCTaxonomy/data#OMII0II2146207304,SM3A
